date	open	high	low	close	volume
2009-05-11	12.031	12.293	11.812	11.828	274051.63
2009-05-12	11.736	11.972	11.676	11.955	133009.622
2009-05-13	11.972	12.344	11.972	12.192	268068.951
2009-05-14	12.124	12.623	12.082	12.42	241424.444
2009-05-15	12.513	12.597	12.209	12.352	136957.801
2009-05-18	12.369	12.369	12.04	12.344	145217.463
2009-05-19	12.378	12.504	12.175	12.234	206838.8
2009-05-20	12.285	12.335	11.93	11.955	196967.084
2009-05-21	11.888	11.972	11.676	11.727	152400.733
2009-05-22	11.71	11.812	11.55	11.786	182036.571
2009-05-25	11.533	11.778	11.491	11.685	106411.111
2009-05-26	11.719	11.854	11.592	11.786	110938.759
2009-05-27	11.803	11.837	11.693	11.71	104430.406
2009-06-01	11.769	11.947	11.702	11.82	162608.36
2009-06-02	11.896	12.031	11.828	11.879	144649.806
2009-06-03	11.989	12.048	11.82	12.023	236994.085
2009-06-04	11.997	12.04	11.702	11.828	214538.045
2009-06-05	11.896	11.905	11.668	11.702	167488.607
2009-06-08	11.685	11.896	11.643	11.862	164076.309
2009-06-09	11.862	12.014	11.676	11.997	158331.054
2009-06-10	12.04	12.8	12.014	12.758	631020.271
2009-06-11	12.665	12.834	12.471	12.504	355958.404
2009-06-12	12.42	12.589	11.955	12.107	251130.586
2009-06-15	12.124	12.335	12.065	12.335	163161.384
2009-06-16	12.251	12.724	12.175	12.614	324473.335
2009-06-17	12.555	13.003	12.504	12.885	319186.078
2009-06-18	12.944	13.045	12.69	12.851	241142.158
2009-06-19	12.834	13.662	12.8	13.611	402071.059
2009-06-22	13.67	13.713	13.273	13.299	221696.948
2009-06-23	13.054	13.713	13.037	13.417	240342.476
2009-06-24	13.332	13.501	13.037	13.214	245724.411
2009-06-25	13.231	13.231	12.952	12.986	191418.646
2009-06-29	12.969	13.248	12.91	13.028	165013.489
2009-06-30	13.138	13.392	12.91	12.978	128238.535
2009-07-01	12.944	13.096	12.893	13.011	141380.328
2009-07-02	13.087	13.349	13.028	13.163	169070.296
2009-07-03	13.096	13.273	13.054	13.18	124646.9
2009-07-06	13.248	13.476	13.197	13.417	190896.621
2009-07-07	13.434	13.476	13.18	13.231	163535.502
